"code","iso","country","LEX.ind.1995","LEX.ind.1996","LEX.ind.1997","LEX.ind.1998","LEX.ind.1999","LEX.ind.2000","LEX.ind.2001","LEX.ind.2002","LEX.ind.2003","LEX.ind.2004","LEX.ind.2005","LEX.ind.2006","LEX.ind.2007","LEX.ind.2008","LEX.ind.2009","LEX.ind.2010","LEX.ind.2011","LEX.ind.2012","LEX.ind.2013","LEX.ind.2014","LEX.ind.2015","LEX.ind.2016","LEX.ind.2017","LEX.ind.2018","LEX.ind.2019","LEX.ind.2020","LEX.ind.2021","LEX.ind.2022","LEX.ind.2023","LEX.ind.2024"
50,"BGD","Bangladesh",9.9,10.6,11.4,13.2,14.9,16.8,18.7,20.5,21.2,22,22.9,23.9,25.1,26.1,27.2,28.3,29.5,30.6,31.6,32.8,34,35.2,36.5,37.7,38.9,40,41,41,41,41
52,"BRB","Barbados",38.1,40.9,43.9,47.2,51.3,55.9,57.1,58.4,59.7,60.6,61.5,62.2,63.1,63.7,64.2,64.6,64.6,64.3,63.9,63.6,63.4,63.3,63.3,63.4,63.6,63.6,63.6,63.6,63.6,63.6
112,"BLR","Belarus",45.3,45.6,45.6,45.7,45.9,46.4,47,47.6,48.2,48.8,49.2,53.4,57.9,63,68.3,73.7,74.7,75.6,76.5,77.7,78.4,78.9,79.8,80.6,81.1,81.4,81.7,81.7,81.7,81.7
56,"BEL","Belgium",27.3,27.7,28.2,28.5,28.8,35.2,42,48.9,55.6,62.2,62.5,62.9,63.4,64,64.4,65,65.6,66.2,66.7,67.1,67.6,68.2,68.7,69.3,69.8,69.9,69.9,69.9,69.9,69.9
84,"BLZ","Belize",40.1,41.1,41.8,42.2,42.3,44.8,47.6,50.7,54.1,57.7,58.7,59.7,60.6,61.2,61.8,62.4,63,63.5,64.1,64.6,65.2,65.7,66.3,66.8,67.4,67.7,67.9,67.9,67.9,67.9
204,"BEN","Benin",24.3,24.8,25.3,25.9,26.6,27.2,27.9,28.5,29,30.9,32.6,34.3,36,37.7,38.3,38.8,39.2,39.8,40.4,41.1,41.8,42.5,43.3,44,44.8,45.5,46.2,46.2,46.2,46.2
60,"BMU","Bermuda",50.4,50.3,50.1,49.9,49.9,55,61.1,68.1,76,84.7,86.7,88.6,90.3,91.6,92.1,92,91.4,91.1,91.2,91.6,92.4,93.7,95.5,97.3,99.2,100,100,100,100,100
64,"BTN","Bhutan",6.7,8.1,10.8,13.4,16,18.7,21.5,23,24.5,25.9,27.4,28.8,30.4,32,33.6,35.3,36.9,38.2,39.4,40.4,41.4,42.5,43.5,44.4,45.3,46,46.7,46.7,46.7,46.7
68,"BOL","Bolivia",19.2,21.5,23.8,26.1,28.3,28.9,29.5,30,30.6,31.3,32.1,32.9,33.8,34.6,35.3,36.2,37.3,38.4,39.6,40.7,41.7,42.7,43.6,44.5,45.4,45.9,46.2,46.2,46.2,46.2
70,"BIH","Bosnia and Herzegovina",27.8,30.5,33.4,35.9,37.8,39.1,40,40.7,41.2,43.6,46.3,49.2,52.4,56,56.9,57.8,58.6,59.3,60,60.8,61.6,62.3,63.2,64,64.8,65.2,65.5,65.5,65.5,65.5
