"code","iso","country","OEB.ind.1995","OEB.ind.1996","OEB.ind.1997","OEB.ind.1998","OEB.ind.1999","OEB.ind.2000","OEB.ind.2001","OEB.ind.2002","OEB.ind.2003","OEB.ind.2004","OEB.ind.2005","OEB.ind.2006","OEB.ind.2007","OEB.ind.2008","OEB.ind.2009","OEB.ind.2010","OEB.ind.2011","OEB.ind.2012","OEB.ind.2013","OEB.ind.2014","OEB.ind.2015","OEB.ind.2016","OEB.ind.2017","OEB.ind.2018","OEB.ind.2019","OEB.ind.2020","OEB.ind.2021","OEB.ind.2022","OEB.ind.2023","OEB.ind.2024"
52,"BRB","Barbados",47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,47.3,51.8,54.4,51.6,50.8,46.3,50.4,59.1,53.8,54.8,48.5,50.5,50.3,56.1,48,38.3,43,43.9,43.1,43.6,43.6,43.6
112,"BLR","Belarus",59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,62.9,59.6,56.4,53,51,59.7,58.3,56.6,58.2,56.1,58.3,50.3,56.6,50.6,52.6,45.6,49.9,57.1,58.1,58.1,58.1
56,"BEL","Belgium",77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,80,74.6,71.1,73.9,71.7,72.3,74.7,73.4,71.4,68.1,67.4,66.5,72.3,65,58.3,54,51.7,63.4,61.6,61.6,61.6
84,"BLZ","Belize",60.3,60.3,60.3,60.3,60.3,60.3,60.3,60.3,60.3,57.5,55.9,60.4,62.2,60.5,59.7,60.7,60.3,62.8,63.3,62.6,62.1,64.3,61.5,56.2,55.9,57.1,62.1,62.4,62.4,62.4
204,"BEN","Benin",69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,69.7,68.1,66.9,63.5,61.9,61.2,65.6,68,62.1,67.4,66.5,67.2,66.4,72.6,66.9,65.2,61.7,58.3,58.3,63.5,63.5,63.5
60,"BMU","Bermuda",10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,3.3,1.6,0.9,0,6.1,10.9,0,10,7.3,4.2,8.7,10.9,14.6,1.1,0,0,0,2.9,8.2,8.2,8.2
64,"BTN","Bhutan",33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,33.3,32.9,23.9,25,28.8,27.6,21.9,26,28.1,18.8,32,24.7,25.3,27.4,24.6,15,16.8,16,15.1,15.6,15.6,15.6
68,"BOL","Bolivia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
70,"BIH","Bosnia and Herzegovina",27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,27.1,35.3,28.8,29.2,28.8,26.1,30.8,27.9,32.5,28.3,28.6,33,34.6,32.9,22.8,24,18.5,22.6,24.6,29.6,29.6,29.6
72,"BWA","Botswana",69,69,69,69,69,69,69,69,69,72.9,69,76.8,64.9,66.1,72.5,66.2,67.3,64.3,65.6,71.8,65.6,69.1,66.6,64.8,63.2,65.3,65.1,61.9,61.9,61.9
76,"BRA","Brazil",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
92,"VGB","British Virgin Islands",41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,38.3,41.2,41,44.4,35.8,39.7,42.8,40.1,41.4,37.7,44.4,45.4,47.7,38.6,28.9,32.2,33.2,33.7,34.3,34.3,34.3
96,"BRN","Brunei Darussalam",81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,80.8,78.3,77.2,82.3,83.3,72,87.8,82.1,81.7,83.2,80.9,79.8,82.6,83.9,75.7,68.6,81.6,85.2,84.4,84.4,84.4
100,"BGR","Bulgaria",51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,54.6,48.8,51.1,46.4,46.9,51.6,50.2,52.8,48.5,47.3,55.4,51.3,51.1,46.2,45.9,41.9,44.1,47.3,49,49,49
854,"BFA","Burkina Faso",73.8,73.8,73.8,73.8,73.8,73.8,73.8,73.8,73.8,73.7,72.5,69.5,68.1,67,70.6,73.9,68.3,72.9,73.2,72.8,73,78.5,74.7,72.9,69.9,67.8,67.9,72.3,72.3,72.3
